Field=#~Integer~#~50|Field=Comment~String~Comment~413|Field=Designator~String~Designator~911|Field=Quantity~Integer~Quantity~89|Field=Order~String~Order~527|Field=Price~String~Price~101|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~mcHF_rf.PrjPCB|ReportField=ProjectFullPath~C:\Projects\mcHF_0.6.x\pcb\rf\mcHF_rf.PrjPCB|ReportField=Title~Bill of Materials For Project [mcHF_rf.PrjPCB] (No PCB Document Selected)|ReportField=ReportTime~11:02:57|ReportField=ReportDate~03/01/2019|ReportField=ReportDateTime~03/01/2019 11:02:57|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=TotalQuantity~305|ReportField=TotalActualPrice~0|ReportField=TotalTargetPrice~0|ReportField=VersionControl_RevNumber~|ReportField=VersionControl_ProjFolderRevNumber~|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~K Atanassov|ReportField=CheckedBy~|ReportField=CompanyName~M0NKA|ReportField=ConfigurationParameters~|ReportField=CurrentDate~03/01/2019|ReportField=CurrentTime~11:00:45|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Projects\mcHF_0.6.x\pcb\rf\Schematics\rf_main.SchDoc|ReportField=DocumentName~rf_main.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~11/12/2018|ReportField=Organization~|ReportField=ProjectName~mcHF_rf.PrjPCB|ReportField=Revision~0.6.2|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~12|ReportField=Time~|ReportField=Title~mcHF QRP Transceiver RF board|ReportField=DataSourceFileName~mcHF_rf.PrjPCB|ReportField=DataSourceFullPath~C:\Projects\mcHF_0.6.x\pcb\rf\mcHF_rf.PrjPCB|ReportField=PCBDataSourceFileName~rf_main.PcbDoc|ReportField=PCBDataSourceFullPath~C:\Projects\mcHF_0.6.x\pcb\rf\Pcb\rf_main.PcbDoc|ReportField=PCBConfigurationName~Default Configuration|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
1|100nF|C1, C1a, C1b, C2, C2a, C2b, C2c, C2d, C3, C4, C5, C6, C19, C20, C21, C22, C23, C24, C25, C26, C34, C36, C42, C61, C62, C63, C63a, C65, C66, C67, C72, C75, C77, C79, C80, C81, C88, C89, C91, C92, C93, C94a, C97, C98, C99, C100, C101, C102, C103, C104, C106, C113, C114, C116, C126, C127, C129|57|FN 252-2090|0.068
2|1.5nF|C7, C15|2|FN 221-0934|0.124
3|820|C8, C16|2|FN 174-0649|0.074
4|390|C9, C12, C17, C51, C55, C70, C74|7|FN 233-2701|0.078
5|180|C10, C13, C18, C47, C59|5|FN 233-2756|0.058
6|680|C11, C50, C54|3|FN 228-0662|0.074
7|82|C14|1|FN 174-0656|0.074
8|100uF|C27|1|FN 206-9181|0.37
9|10uF|C28, C29, C40, C76, C76a, C90, C105, C109, C110, C111, C112, C115, C128|13|FN 233-3009|0.204
10|1nF|C28a, C29a, C32, C33, C33a, C33b, C78|7|FN 136-2553|0.01, 0.083
11|22uF|C30, C96, C96a, C106a|4|FN 197-294|0.235
12|10nF|C31, C35|2|FN 233-2713|0.059
13|470|C45, C57|2|FN 141-4693|0.063
14|270|C46, C58|2|FN 233-2698|0.078
15|100pF|C48, C60, C107, C107a, C108, C108a|6|FN 233-2692|0.056
16|1.2nF|C49, C53|2|FN 221-0933|0.143
17|220pF|C52, C56|2|FN 498-609|0.068
18|22nF|C68, C69, C84, C85, C86, C87|6|FN 221-1120|0.84
19|2.2uF|C82, C83|2|FN 184-5751|0.115
20|47nF|C94, C95|2|FN 152-0303|0.03
21|PMEG6010CEH|D1, D5, D6|3|FN 151-0694|0.085
22|BAT54A|D2|1|FN 108-1191|0.024
23|BAV99|D2a, D2b|2|FN 162-1837|0.0618
24|MA4P7102F|D3, D4|2|DK 1465-1236-1-ND|2.20
25|16/30HB|DS1|1|FN 113-9250|0.243
26|MC12CT|F1|1|FN 184-1065|0.134
27|FC68148S|J1|1|FN 188-9309|0.83
28|MX-387GL|J2, J3|2|FN 126-7376|0.35
29|G6KU-2FY 3DC|K1, K2, K3, K4|4|FN 118-1070|2.19
30|2.2uH|L1, L6, L9|3|FN 166-9889|0.166
31|1uH|L2, L7, L10|3|FN 166-9882|0.166
32|0.47uH|L3, L11|2|FN 166-9913|0.166
33|0.33uH|L4, L12|2|FN 166-9911|0.166
34|4.7uH|L5|1|FN 249-1624|0.166
35|0.68uH|L8|1|FN 166-9915|0.166
